NombreComun,NombreCientifico,Riego,Luz,Poda,Abono,Trasplante,Tipo,Imagen,PeriodoVerano,PeriodoInvierno
Poto,Epipremnum pinnatum,Dejar secar capa superficial entre riegos,Espacio luminoso y luz indirecta,Poda los tallos cuando se queden desnudos.,Abona la planta cada mes en proceso de crecimiento y cada tres meses en periodo de descanso.,Una vez al año y lo más recomendable es hacerlo en primavera.,Interior,https://res.cloudinary.com/green-corner/image/upload/v1655638146/info-plagas/poto_dpupjc.png,5,10
Ficus Elastica,Ficus elastica,"Moderado en verano, escaso en invierno",Espacio luminoso y luz indirecta,La poda de las ramas que van creciendo es necesaria para controlar el tamaño y forma,Aplícalo en la primavera y repite en el verano.,El trasplante de los Ficus debe realizarse a una maceta mayor para adecuar la parte radicular a la parte de su follaje. Puede realizarse desde cada año a cada dos o tres años.,Interior,https://res.cloudinary.com/green-corner/image/upload/v1655637950/info-plagas/ficus_iiwsep.png,4,15
Costilla de Adan,Monstera deliciosa,Uno o dos riegos semanales en verano y uno cada 15 días en invierno,Espacio luminoso y luz indirecta,"La mejor época es durante la primavera, cuando el tiempo es fresco, pero no caluroso aún.",Aplicar una dosis de abono cada 15 días desde el comienzo de la primavera hasta el final del verano.,Trasplantar cada dos años a una maceta de mayores dimensiones.,Interior,https://res.cloudinary.com/green-corner/image/upload/v1655638041/info-plagas/mostera_abrbxd.png,7,15
Planta del dinero,Plectranthus verticillatus,"Abundante en verano, poco en invierno",Espacio luminoso y media sombra,"la poda se va a centrar en eliminar estas zonas marchitas, evitando que la parte dañada afecte al resto de la planta",Durante la primavera y hasta el final del verano puedes añadir un abono mineral con el riego cada 15 días.,"Cuando veas que la planta ya ha enraizado, es el momento de realizar el trasplante.",Exterior,https://res.cloudinary.com/green-corner/image/upload/v1655637938/info-plagas/planta_del_dinero_efikqd_copia_zgx6mi.png,2,15
Aloe Vera,Aloe vera,El riego debe ser moderado,Mucha luz solar menos en los meses de verano,En primavera quitando las partes dañadas y los excesos.,Al comienzo de la primavera utilizar un abono para cactus y crasas y al final del verano aplicar una capa de humus de lombriz. ,"El trasplante debe realizarse en primavera durante el ciclo vital más activo de la planta, pero ten en cuenta que el aloe vera debe estar en su edad adulta para trasplantarse, es decir, tener entre dos y cinco años.",Suculenta,https://res.cloudinary.com/green-corner/image/upload/v1655632836/info-plagas/aloe_vgmt7a.png,10,20
Gardenia,Gardenia jasminoides,Es necesario mantener la tierra siempre húmeda. El agua de riego no debe tener cal,"Si es de interior espacio luminoso y luz indirecta, por lo contrario a media sombra","La mejor epoca es al comienzo de la primavera, pero una poda de limpieza para eliminar ramas amarillentas o secas durante todo el año","Necesita abonos específicos para acidófilas, junto al agua de riego cada tres semanas desde principios de primavera hasta llegar el otoño.","Se trasplanta al principio de la primavera, entre marzo y abril con mucho cuidado, sin perjudicar las raíces.",Interior,https://res.cloudinary.com/green-corner/image/upload/v1655632466/info-plagas/gardenia_hajsh9.png,2,10
Lengua de suegra,Dracaena trifasciata,"Muy poco riego, una o dos veces al mes",Mucha luz ,Sólo hace falta eliminar las hojas que poco a poco se desecan para evitar que se conviertan en vehículo de enfermedades parasitarias.,"Aplicar abono en primavera, una sola vez al mes.",Se trasplanta en marzo - abril cuando la maceta se haya vuelto demasiado pequeña para contener las raíces.,Interior,https://res.cloudinary.com/green-corner/image/upload/v1655632275/info-plagas/lengua_fi12mc.png,10,25
Cactus Cebra,Haworthia attenuata,Regar solo cuando el sustrato este muy seco,Protegerla del sol fuerte del medio dia.,No necesaria,Fertilizar una o dos veces al año con humus de lombriz. Nunca fertilizantes altos en nitrogeno.,Cuando la planta asome las raices por los agujeros de drenaje pasar a una maceta ligeramente mayor,Suculenta,https://res.cloudinary.com/green-corner/image/upload/v1655631972/info-plagas/cebra_hbetpy.png,15,30
Peyote,Lophophora williamsii,"Moderado en verano, escaso en invierno",Exterior a pleno sol.,No necesaria,Desde comienzos de primavera hasta finales del verano,"En primavera, transplantar cada tres años.",Suculenta,https://res.cloudinary.com/green-corner/image/upload/v1655632167/info-plagas/peyote_ssshk5.png,30,100
Planta de la Amistad,Pilea involucrata,Constante sin encharcar,Luz indirecta,Eliminar aquellas hojas que se deterioren,Abonar quincenalmente desde abril hasta septiembre.,Se puede transplantar en la primavera en los meses de marzo o abril y como condición de que el tiesto no sea muy grande,Interior,https://res.cloudinary.com/green-corner/image/upload/v1655637937/info-plagas/planta_de_la__amistad_qrg42q.png,3,10
